Sr No,Course Name,Announcement,Date Published
56,CSE201 - Java Programming 2024 - 25,"Link for the CE2 for 3CSE2- D2D students


https://forms.gle/xTCxQPP59eCiFHHJ6",2024-08-09T09:10:52.570Z
57,CSE201 - Java Programming 2024 - 25,"Link for the CE1 for 3CSE2- D2D students

https://forms.gle/4hduMXuPyKFEpPYt5",2024-08-09T08:54:01.396Z
58,CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2- D batch, 

The Continuous evaluation for Unit -1 & Unit -2 is scheduled on August 9, 2024 from 2.20 pm to 3.05 PM in room no. 323. 

Note: All are requested to bring the laptop for the continuous evaluation without fail. (Mobile phones will not be allowed to appear for the quiz)

The following are the guidelines:

CSE201 - Java Programming (Unit -1 )
Continuous Evaluation - 1
Each question carry 1 mark. All questions are compulsory to attend. 
Total Time: 15 minutes

CSE201 - Java Programming (Unit -2)
Continuous Evaluation - 2
All questions are compulsory to attend. 
Total Time: 30 minutes",2024-08-09T05:28:30.563Z
59,CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2- D batch, 

The Continuous evaluation for Unit -1 & Unit -2 is scheduled on August 9, 2024 from 2.20 pm to 3.05 PM in room no. 323. 

Note: All are requested to bring the laptop for the continuous evaluation without fail. (Mobile phones will not be allowed to appear for the quiz)

The following are the guidelines:

CSE201 - Java Programming (Unit -1 )
Continuous Evaluation - 1
Each question carry 1 mark. All questions are compulsory to attend. 
Total Time: 15 minutes

CSE201 - Java Programming (Unit -2)
Continuous Evaluation - 2
All questions are compulsory to attend. 
Total Time: 30 minutes",2024-08-01T05:16:28.489Z
60,CSE201 - Java Programming 2024 - 25,"Dear students,

try to solve the attached programs.",2024-08-06T09:28:13.826Z
61,CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2, 

Please find the Continuous Evaluation- 2 Marks. 

Thank You",2024-08-01T14:32:39.369Z
62,CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2, 

Please find the link for the Continuous evaluation -2 for Unit -2

https://forms.gle/nTKs15RshBbKUqKq9",2024-08-01T03:45:06.947Z
63,CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the PPT for Chapter -2.",2024-07-30T03:59:22.803Z
64,CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the PPT for Chapter -2. 

",2024-07-29T07:48:07.932Z
65,CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2, 

The continuous evaluation for the Unit -1 is scheduled on August 1, 2024 (in Java lecture). 

Note: All are requested to bring the laptop for the continuous evaluation without fail. (Mobile phones will not be allowed to appear for the quiz)

The following are the guidelines:

CSE201 - Java Programming
Continuous Evaluation - 2
All questions are compulsory to attend. 
Total Time: 30 minutes


Thank You ",2024-07-29T07:46:31.231Z
66,CSE201 - Java Programming 2024 - 25,"Dear 

3CSE1 Students,

please find below Continuous Evaluation for Unit - 2 link.",2024-07-23T08:16:59.163Z
67,CSE201 - Java Programming 2024 - 25,"Dear Students, 


Please find the Unit -1 Continuous Evaluation -1 marks.",2024-07-11T09:50:44.120Z
68,CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the attendance report from June 24, to July 11, 2024. 

Those who are having less attendance informed to attend the lectures regularly.

Thank You ",2024-07-11T09:49:56.062Z
69,CSE201 - Java Programming 2024 - 25,"Dear Students, 


Please find the Unit -1 Continuous Evaluation quiz Link: 

https://forms.gle/PKppBv5ZsXvMQV9p8 ",2024-07-11T04:15:27.351Z
70,CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please fins the Unit -1 PPTs. 
",2024-07-09T08:10:45.218Z
71,CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2, 

The continuous evaluation for the Unit -1 is scheduled on July 11, 2024 (in Java lecture). 

Note: All are requested to bring the laptop for the continuous evaluation without fail. (Mobile phones will not be allowed to appear for the quiz)

The following are the guidelines:

CSE201 - Java Programming
Continuous Evaluation - 1
Each question carry 1 mark. All questions are compulsory to attend. 
Total Time: 15 minutes
You have to submit a quiz after a submission call at 16th minute and then form will be closed. You will loose the marks if quiz is not submitted on time.",2024-07-08T08:36:24.286Z
72,CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the CSE201- Java Programming Lesson Planning. ",2024-07-05T10:09:23.375Z
73,CSE201 - Java Programming 2024 - 25,"Dear Students,
PFA,

Practical File format.",2024-07-04T07:45:47.464Z
74,CSE201 - Java Programming 2024 - 25,"Dear Students,

Please find attached reference material of Unit - 1.",2024-07-04T07:39:01.925Z
75,CSE201 - Java Programming 2024 - 25,"Dear Students,

Please find attached e-books and reference material.",2024-07-04T07:36:14.582Z
76,CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the attached CSE201- Java Programming syllabus and pedagogy.",2024-06-25T03:40:56.022Z
77,CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the attached CSE201- Java Programming Practical list.",2024-07-02T04:42:36.881Z
78,CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the NPTEL Java Online Course Link: 

https://onlinecourses.nptel.ac.in/noc24_cs105/preview 
https://nptel.ac.in/courses/106105191

Kindly register. ",2024-07-01T07:46:39.524Z
79,CSE203: Data Structure & Algorithms,Tree PPT,2024-09-27T08:48:46.643Z
80,CSE203: Data Structure & Algorithms,"Dear 3CSE1 Students,
You quiz for the tree and graph chapter is scheduled on 4th October 2024 in DSA lecture. All must attend the quiz. So plan any activity accordingly.",2024-09-25T15:55:49.317Z
81,CSE203: Data Structure & Algorithms,"3CSE2 Class,

DSA Quiz Marks",2024-09-25T09:33:14.309Z
82,CSE203: Data Structure & Algorithms,"Tree and Graph

Note: Do not refer AVL tree from the given notes.

",2024-09-25T09:15:01.866Z
83,CSE203: Data Structure & Algorithms,"3CSE2 Class

Link for Exam: https://forms.gle/L6GNo5E6XGyvntpu7",2024-09-20T03:48:01.022Z
84,CSE203: Data Structure & Algorithms,"Dear 3CSE1 Students,
According to our lesson plan, there will be no quiz for the Sorting chapter. Instead, an assignment will be given to assess your understanding of the topic. You will each receive your individual assignment within the next few days.",2024-09-18T09:31:43.386Z
85,CSE203: Data Structure & Algorithms,"traversal program:
3CSE-1 C batch",2024-09-04T09:29:42.070Z
86,CSE203: Data Structure & Algorithms,ALL sorting algorithms,2024-08-16T03:35:27.565Z
87,CSE203: Data Structure & Algorithms,"Dear all, Find the Unit test-2 Quiz + Fill In the blanks marks.
If any discrepancies then call me within three working days after that no issue will be entertained.

D2D results will be declared when students will be physically available here in campus.",2024-08-14T10:18:54.139Z
88,CSE203: Data Structure & Algorithms,Unit Test-2 Quiz Questions,2024-08-14T08:33:36.869Z
89,CSE203: Data Structure & Algorithms,https://gateoverflow.in/1826/gate-cse-2006-question-49,2024-08-14T08:23:01.637Z
90,CSE203: Data Structure & Algorithms,"Link to submit Quiz-2 for CSE1 Students only
https://forms.gle/xvACxahFqXaWFvk6A
",2024-08-13T08:47:23.055Z
91,CSE203: Data Structure & Algorithms,https://forms.gle/ighP8ognAzspTnik6,2024-08-13T03:50:41.312Z
92,CSE203: Data Structure & Algorithms,"Dear 3CSE2 students,

Link for Exam: https://docs.google.com/forms/d/1ZPOu7rU3BxthNsizbLx1lJfyU9QkJdYI8AQJ-4NzMQw/edit

Thank you.",2024-08-13T03:46:56.556Z
93,CSE203: Data Structure & Algorithms,"Dear CSE2 Students,
Continuous Evaluation 2 will take place on Tuesday, August 13, 2024, during the DSA lecture hour. all must be present.

Thank you.",2024-08-10T08:16:22.178Z
94,CSE203: Data Structure & Algorithms,"Dear Students,
Unit Test-2 Will take place on this Tuesday during DSA-lecture hour, all must present.",2024-08-10T07:19:55.578Z
95,CSE203: Data Structure & Algorithms,Study materials,2024-08-02T08:27:18.159Z
96,CSE203: Data Structure & Algorithms,University Question of Linked List,2024-08-02T04:32:11.358Z
97,CSE203: Data Structure & Algorithms,Linked List,2024-08-01T08:45:43.525Z
98,CSE203: Data Structure & Algorithms,"
Dear Students,  one of the good course is going on related to DSA on Swayam portal, link is given below if you want to enroll then enroll it before 22 July 2024.
https://onlinecourses.nptel.ac.in/noc24_cs96/preview",2024-07-20T07:18:28.328Z
99,CSE203: Data Structure & Algorithms,infix to postfix,2024-07-15T03:52:15.540Z
100,CSE203: Data Structure & Algorithms,Study material of Linear data structure.,2024-07-09T11:07:52.075Z
101,CSE203: Data Structure & Algorithms,"Unit Test-1 Marks
Dear CSE1 student unit test marks is attached here if there is any discrepancy or issue then discuss with me within two days after that no issues will be entertained.",2024-07-09T11:05:35.647Z
102,CSE203: Data Structure & Algorithms,Unit test-1 Paper,2024-07-09T10:40:32.365Z
103,CSE203: Data Structure & Algorithms,"Only for 3CSE1
Odd Roll No. Students click here: https://forms.gle/Xkof6BugHsKPYUbA7

Even Roll No. Students click here: https://forms.gle/jXWkzBjA9dg8oD449",2024-07-09T08:45:41.156Z
104,CSE203: Data Structure & Algorithms,"Dear Class 3CSE2 Students,
Quiz-1 Result is attached here.

Thank you.",2024-07-06T07:32:46.693Z
105,CSE203: Data Structure & Algorithms,DSA PPT,2024-07-03T07:03:34.003Z
106,CSE203: Data Structure & Algorithms,"CSE2 Students,

Exam Link: https://forms.gle/mDbjkiSZGw3oKHT58",2024-07-05T03:47:47.359Z
107,CSE203: Data Structure & Algorithms,"Dear 3CSE1 Students,
Your first quiz of unit-1 is scheduled on Tuesday (09/07/2024). Coverage of Syllabus will be as mentioned in the lesson plan.
Time: In the lecture of 2:20 to 3:20",2024-07-04T10:36:12.095Z
108,CSE203: Data Structure & Algorithms,"Class 3CSE2,

Tomorrow you have an Internal evaluation exam of chapter-1 during class time (9:10am to 10:10am).

Thank you.
",2024-07-04T10:24:52.077Z
109,CSE203: Data Structure & Algorithms,DSA Study Material for reference,2024-07-03T07:08:12.473Z
110,CSE203: Data Structure & Algorithms,Practical File format,2024-07-02T09:11:21.789Z
111,CSE203: Data Structure & Algorithms,updated Practical List,2024-06-29T10:05:14.778Z
112,CSE203: Data Structure & Algorithms,Find the lesson plan for your reference.,2024-06-29T04:25:03.144Z
113,CSE203: Data Structure & Algorithms,"Dear Students,
Kindly find the attachments.
1. Data Structure syllabus
2. DSA PPT
3. Practical List",2024-06-28T05:54:06.394Z
114,ME 145 EOE DCSE-1 2024,ME 145 EOE Marks-1st Internal,2024-03-22T11:09:33.196Z
115,ME 145 EOE DCSE-1 2024,ME145 EOE ASSIGNMENT,2024-03-19T07:04:47.285Z
116,ME 145 EOE DCSE-1 2024,CSPIT-EOE(even sem 2022-23) 1st internal paper for your reference,2024-02-22T10:14:32.143Z
117,ME 145 EOE DCSE-1 2024,ME145 EOE Syllabus for 1st Internal Exam,2024-02-22T10:12:22.738Z
118,CSE101-Digital Electronics (2023-24),Batch A is ready for practical @ 313,2024-05-13T03:35:10.280Z
119,CSE101-Digital Electronics (2023-24),"CSE2 class
 CSE-101 Digital Electronics
 V-313, PE-313, W-323",2024-05-13T02:31:59.098Z
120,CSE101-Digital Electronics (2023-24),"Batch C is ready for the viva at 312.





",2024-05-08T04:07:59.851Z
121,CSE101-Digital Electronics (2023-24),"Dear all,

Note: only 60 responses are there so it's humble request to upload the  file in the shared sheet otherwise I will not be allowed to give the exam on a specific date.

Thank you.",2024-05-06T07:04:38.574Z
122,CSE101-Digital Electronics (2023-24),"Dear students,

Greetings!!!!

As per the scheduled time of viva and practical exam for the subject, CSE101-Digital Electronics will be 9:00 am on your respective scheduled dates. 

All the students are requested to report at 9:00 am at the mentioned location.

Location: V-303, PE-304, W-306

 
Viva: 9:30 am onwards (All the students)

All the Best!!!",2024-05-06T06:56:14.527Z
123,CSE101-Digital Electronics (2023-24),"Dear all,

kindly upload the practical file in the shared link before your examination.

Thank you.",2024-05-06T06:23:05.617Z
124,CSE101-Digital Electronics (2023-24),"Dear all,

Kindly upload the practical File (in pdf format) in the given below link before 7th May 2024.

Link: https://forms.gle/bxsGbLHLQEqfdhwL7

Thank You.",2024-05-02T04:59:02.982Z
125,CSE101-Digital Electronics (2023-24),"Dear CSE2-C batch students,
You can come for Project Presentation before 11 AM, tomorrow.",2024-05-01T10:04:40.007Z
126,CSE101-Digital Electronics (2023-24),material for Digital Electronics,2024-04-30T08:39:51.640Z
127,CSE101-Digital Electronics (2023-24),"software required for UNIT Test-2

Link: https://sourceforge.net/projects/seb/files/seb/SEB_3.6.0/SEB_3.6.0.633_SetupBundle.exe/download",2024-04-22T06:48:35.410Z
128,CSE101-Digital Electronics (2023-24),UNIT-5 ,2024-04-11T06:43:58.101Z
129,CSE101-Digital Electronics (2023-24),Combinational and Sequential circuit ,2024-04-10T09:03:23.135Z
130,CSE101-Digital Electronics (2023-24),"UNIT TEST-2 

--Syllabus",2024-04-09T05:33:00.040Z
131,CSE101-Digital Electronics (2023-24),"UNIT TEST-1 MARKS

Attention all students! It is mandatory for those who have scored less than 12 marks to rewrite the entire question paper along with the solution in their assignment book.",2024-03-04T06:17:56.635Z
132,CSE101-Digital Electronics (2023-24),"All the students fill out the project details in the shared sheet today before 4:00 pm.

Link: https://docs.google.com/spreadsheets/d/1N4LGr0Vd8ZQiqjcYsTiva9AqbQ_QV5C430O0fh6oPyc/edit?usp=sharing",2024-03-04T05:08:10.100Z
133,CSE101-Digital Electronics (2023-24),old internal papers,2024-02-23T08:26:16.436Z
134,CSE101-Digital Electronics (2023-24),"Deadline : Assignment-1 submission

7th March, 2024",2024-02-22T08:39:24.257Z
135,CSE101-Digital Electronics (2023-24),Assignment -1 Sr. No 15 Solution,2024-02-22T08:37:52.792Z
136,CSE101-Digital Electronics (2023-24),"Chapter 2:Simplification of Boolean function
Chapter 3: Combinational Circuit",2024-02-22T06:52:33.628Z
137,CSE101-Digital Electronics (2023-24),Chapter-1: Number System,2024-02-16T05:14:10.673Z
138,CSE101-Digital Electronics (2023-24),kindly check practical 2 having assignment question in last page.. so you have to write in file pages.,2024-02-08T08:28:36.576Z
139,CSE101-Digital Electronics (2023-24),Practical 2: Implement the circuit using NAND Gate and NOR gate only,2024-02-01T07:28:29.579Z
140,CSE101-Digital Electronics (2023-24),University Question Papers,2024-01-09T04:37:26.832Z
141,CSE101-Digital Electronics (2023-24),"Assignment 2
Due Mar 16",2024-01-09T04:34:41.618Z
142,CSE101-Digital Electronics (2023-24),Assignment 1Due Feb 16,2024-01-09T04:34:02.891Z
143,CSE101-Digital Electronics (2023-24),"1.Practical List
2.  Minor Project",2024-01-04T10:22:03.878Z
144,CSE101-Digital Electronics (2023-24),"1. Rubrics and Pedagogy of Digital Electronics
2. Syllabus
3. Practical
",2024-01-02T08:37:46.534Z
145,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA Second internal examination marks of CE144: OBJECT ORIENTED PROGRAMMING WITH C++",2024-05-19T11:31:20.094Z
146,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear 2CSE2 B batch students,

PFA Aim for practical examination.


Time :  01:30 pm - 2:45 PM",2024-05-13T07:57:27.693Z
147,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear 2CSE2 A batch students,

PFA Aim for practical examination.


Time : 11:45 am - 01:00 pm",2024-05-13T06:12:23.631Z
148,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear 2CSE2 Students,

Please find attached link on which you need to submit your practical examination work. Kindly read the instructions carefully.

Thank you.",2024-05-13T06:13:26.234Z
149,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear 2CSE2 C batch students,

PFA Aim for practical examination.


Time : 10:00 am - 11:15 am",2024-05-13T04:22:58.535Z
150,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear 2CSE1 C batch students,

PFA Aim for practical examination.",2024-05-10T08:08:44.299Z
151,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Please find attached link on which you need to submit your practical examination work. Kindly read the instructions carefully.

Thank you.",2024-05-10T04:42:41.509Z
152,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear 2CSE1 A & B batch students,

PFA aim for practical examination.",2024-05-10T04:06:46.558Z
