Course Name,Announcement,Assignee
CSE201 - Java Programming 2024 - 25,"Dear Students, 
The following are the links for the pratical problems in Hacker rank: 

1: -Java Inheritance I : https://www.hackerrank.com/challenges/java-inheritance-1/problem?isFullScreen=true
2: - Java Inheritance II : https://www.hackerrank.com/challenges/java-inheritance-2/problem?isFullScreen=true
3: - java Abstract Class : https://www.hackerrank.com/challenges/java-abstract-class/problem?isFullScreen=true
4:- Java Interface: https://www.hackerrank.com/challenges/java-interface/problem?isFullScreen=true
5:- Java Method Overriding : https://www.hackerrank.com/challenges/java-method-overriding/problem?isFullScreen=true
6:- Java Method Overriding 2 (Super Keyword) : https://www.hackerrank.com/challenges/java-method-overriding-2-super-keyword/problem?isFullScreen=true
7:- Java Exception Handling: https://www.hackerrank.com/challenges/java-exception-handling/problem?isFullScreen=true
8:- Java Exception Handling : https://www.hackerrank.com/challenges/java-exception-handling-try-catch/problem?isFullScreen=true",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the attached material. 

",Unknown
CSE201 - Java Programming 2024 - 25,"Dear students,

Try this definition ...


Create a class Salad -Method: void SaladBowl (), that shows the all the content of salad, instance variables ( int no. of salad ordered), create a super class Vegetable of Salad-Instance Variables: String vegName, int vegCount, Method: getVegName(), getVegCount().
Create interface Fruits- getFruits(); Interface Sauces- getSauces();, Interface Dressing- getDressings.
Salad is the subclass of Vegetable and implements all three interfaces, create object of Salad class and call all the methods of Salad and Vegetable class as well implement methods of all three interface
Output:
No. of Salads ordered: 2
Name of Vegetable: cucumber
Vegetable count : 2
Name of Vegetable : Cabbage
Vegetable count: 1
Name of Vegetable: tomato
Vegetable count : 4
Fruits: Grapes
Sauces: Mayonise
Dressings: Russian",Unknown
CSE201 - Java Programming 2024 - 25,"Link for the CE2 for 3CSE2- D2D students


https://forms.gle/xTCxQPP59eCiFHHJ6",Unknown
CSE201 - Java Programming 2024 - 25,"Link for the CE1 for 3CSE2- D2D students

https://forms.gle/4hduMXuPyKFEpPYt5",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2- D batch, 

The Continuous evaluation for Unit -1 & Unit -2 is scheduled on August 9, 2024 from 2.20 pm to 3.05 PM in room no. 323. 

Note: All are requested to bring the laptop for the continuous evaluation without fail. (Mobile phones will not be allowed to appear for the quiz)

The following are the guidelines:

CSE201 - Java Programming (Unit -1 )
Continuous Evaluation - 1
Each question carry 1 mark. All questions are compulsory to attend. 
Total Time: 15 minutes

CSE201 - Java Programming (Unit -2)
Continuous Evaluation - 2
All questions are compulsory to attend. 
Total Time: 30 minutes",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2- D batch, 

The Continuous evaluation for Unit -1 & Unit -2 is scheduled on August 9, 2024 from 2.20 pm to 3.05 PM in room no. 323. 

Note: All are requested to bring the laptop for the continuous evaluation without fail. (Mobile phones will not be allowed to appear for the quiz)

The following are the guidelines:

CSE201 - Java Programming (Unit -1 )
Continuous Evaluation - 1
Each question carry 1 mark. All questions are compulsory to attend. 
Total Time: 15 minutes

CSE201 - Java Programming (Unit -2)
Continuous Evaluation - 2
All questions are compulsory to attend. 
Total Time: 30 minutes",Unknown
CSE201 - Java Programming 2024 - 25,"Dear students,

try to solve the attached programs.",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2, 

Please find the Continuous Evaluation- 2 Marks. 

Thank You",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2, 

Please find the link for the Continuous evaluation -2 for Unit -2

https://forms.gle/nTKs15RshBbKUqKq9",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the PPT for Chapter -2.",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the PPT for Chapter -2. 

",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2, 

The continuous evaluation for the Unit -1 is scheduled on August 1, 2024 (in Java lecture). 

Note: All are requested to bring the laptop for the continuous evaluation without fail. (Mobile phones will not be allowed to appear for the quiz)

The following are the guidelines:

CSE201 - Java Programming
Continuous Evaluation - 2
All questions are compulsory to attend. 
Total Time: 30 minutes


Thank You ",Unknown
CSE201 - Java Programming 2024 - 25,"Dear 

3CSE1 Students,

please find below Continuous Evaluation for Unit - 2 link.",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students, 


Please find the Unit -1 Continuous Evaluation -1 marks.",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the attendance report from June 24, to July 11, 2024. 

Those who are having less attendance informed to attend the lectures regularly.

Thank You ",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students, 


Please find the Unit -1 Continuous Evaluation quiz Link: 

https://forms.gle/PKppBv5ZsXvMQV9p8 ",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please fins the Unit -1 PPTs. 
",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students of 3CSE2, 

The continuous evaluation for the Unit -1 is scheduled on July 11, 2024 (in Java lecture). 

Note: All are requested to bring the laptop for the continuous evaluation without fail. (Mobile phones will not be allowed to appear for the quiz)

The following are the guidelines:

CSE201 - Java Programming
Continuous Evaluation - 1
Each question carry 1 mark. All questions are compulsory to attend. 
Total Time: 15 minutes
You have to submit a quiz after a submission call at 16th minute and then form will be closed. You will loose the marks if quiz is not submitted on time.",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the CSE201- Java Programming Lesson Planning. ",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students,
PFA,

Practical File format.",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students,

Please find attached reference material of Unit - 1.",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students,

Please find attached e-books and reference material.",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the attached CSE201- Java Programming syllabus and pedagogy.",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the attached CSE201- Java Programming Practical list.",Unknown
CSE201 - Java Programming 2024 - 25,"Dear Students, 

Please find the NPTEL Java Online Course Link: 

https://onlinecourses.nptel.ac.in/noc24_cs105/preview 
https://nptel.ac.in/courses/106105191

Kindly register. ",Unknown
CSE203: Data Structure & Algorithms,Tree PPT,Unknown
CSE203: Data Structure & Algorithms,"Dear 3CSE1 Students,
You quiz for the tree and graph chapter is scheduled on 4th October 2024 in DSA lecture. All must attend the quiz. So plan any activity accordingly.",Unknown
CSE203: Data Structure & Algorithms,"3CSE2 Class,

DSA Quiz Marks",Unknown
CSE203: Data Structure & Algorithms,"Tree and Graph

Note: Do not refer AVL tree from the given notes.

",Unknown
CSE203: Data Structure & Algorithms,"3CSE2 Class

Link for Exam: https://forms.gle/L6GNo5E6XGyvntpu7",Unknown
CSE203: Data Structure & Algorithms,"Dear 3CSE1 Students,
According to our lesson plan, there will be no quiz for the Sorting chapter. Instead, an assignment will be given to assess your understanding of the topic. You will each receive your individual assignment within the next few days.",Unknown
CSE203: Data Structure & Algorithms,"traversal program:
3CSE-1 C batch",Unknown
CSE203: Data Structure & Algorithms,ALL sorting algorithms,Unknown
CSE203: Data Structure & Algorithms,"Dear all, Find the Unit test-2 Quiz + Fill In the blanks marks.
If any discrepancies then call me within three working days after that no issue will be entertained.

D2D results will be declared when students will be physically available here in campus.",Unknown
CSE203: Data Structure & Algorithms,Unit Test-2 Quiz Questions,Unknown
CSE203: Data Structure & Algorithms,https://gateoverflow.in/1826/gate-cse-2006-question-49,Unknown
CSE203: Data Structure & Algorithms,"Link to submit Quiz-2 for CSE1 Students only
https://forms.gle/xvACxahFqXaWFvk6A
",Unknown
CSE203: Data Structure & Algorithms,https://forms.gle/ighP8ognAzspTnik6,Unknown
CSE203: Data Structure & Algorithms,"Dear 3CSE2 students,

Link for Exam: https://docs.google.com/forms/d/1ZPOu7rU3BxthNsizbLx1lJfyU9QkJdYI8AQJ-4NzMQw/edit

Thank you.",Unknown
CSE203: Data Structure & Algorithms,"Dear CSE2 Students,
Continuous Evaluation 2 will take place on Tuesday, August 13, 2024, during the DSA lecture hour. all must be present.

Thank you.",Unknown
CSE203: Data Structure & Algorithms,"Dear Students,
Unit Test-2 Will take place on this Tuesday during DSA-lecture hour, all must present.",Unknown
CSE203: Data Structure & Algorithms,Study materials,Unknown
CSE203: Data Structure & Algorithms,University Question of Linked List,Unknown
CSE203: Data Structure & Algorithms,Linked List,Unknown
CSE203: Data Structure & Algorithms,"
Dear Students,  one of the good course is going on related to DSA on Swayam portal, link is given below if you want to enroll then enroll it before 22 July 2024.
https://onlinecourses.nptel.ac.in/noc24_cs96/preview",Unknown
CSE203: Data Structure & Algorithms,infix to postfix,Unknown
CSE203: Data Structure & Algorithms,Study material of Linear data structure.,Unknown
CSE203: Data Structure & Algorithms,"Unit Test-1 Marks
Dear CSE1 student unit test marks is attached here if there is any discrepancy or issue then discuss with me within two days after that no issues will be entertained.",Unknown
CSE203: Data Structure & Algorithms,Unit test-1 Paper,Unknown
CSE203: Data Structure & Algorithms,"Only for 3CSE1
Odd Roll No. Students click here: https://forms.gle/Xkof6BugHsKPYUbA7

Even Roll No. Students click here: https://forms.gle/jXWkzBjA9dg8oD449",Unknown
CSE203: Data Structure & Algorithms,"Dear Class 3CSE2 Students,
Quiz-1 Result is attached here.

Thank you.",Unknown
CSE203: Data Structure & Algorithms,DSA PPT,Unknown
CSE203: Data Structure & Algorithms,"CSE2 Students,

Exam Link: https://forms.gle/mDbjkiSZGw3oKHT58",Unknown
CSE203: Data Structure & Algorithms,"Dear 3CSE1 Students,
Your first quiz of unit-1 is scheduled on Tuesday (09/07/2024). Coverage of Syllabus will be as mentioned in the lesson plan.
Time: In the lecture of 2:20 to 3:20",Unknown
CSE203: Data Structure & Algorithms,"Class 3CSE2,

Tomorrow you have an Internal evaluation exam of chapter-1 during class time (9:10am to 10:10am).

Thank you.
",Unknown
CSE203: Data Structure & Algorithms,DSA Study Material for reference,Unknown
CSE203: Data Structure & Algorithms,Practical File format,Unknown
CSE203: Data Structure & Algorithms,updated Practical List,Unknown
CSE203: Data Structure & Algorithms,Find the lesson plan for your reference.,Unknown
CSE203: Data Structure & Algorithms,"Dear Students,
Kindly find the attachments.
1. Data Structure syllabus
2. DSA PPT
3. Practical List",Unknown
ME 145 EOE DCSE-1 2024,ME 145 EOE Marks-1st Internal,Unknown
ME 145 EOE DCSE-1 2024,ME145 EOE ASSIGNMENT,Unknown
ME 145 EOE DCSE-1 2024,CSPIT-EOE(even sem 2022-23) 1st internal paper for your reference,Unknown
ME 145 EOE DCSE-1 2024,ME145 EOE Syllabus for 1st Internal Exam,Unknown
CSE101-Digital Electronics (2023-24),Batch A is ready for practical @ 313,Unknown
CSE101-Digital Electronics (2023-24),"CSE2 class
 CSE-101 Digital Electronics
 V-313, PE-313, W-323",Unknown
CSE101-Digital Electronics (2023-24),"Batch C is ready for the viva at 312.





",Unknown
CSE101-Digital Electronics (2023-24),"Dear all,

Note: only 60 responses are there so it's humble request to upload the  file in the shared sheet otherwise I will not be allowed to give the exam on a specific date.

Thank you.",Unknown
CSE101-Digital Electronics (2023-24),"Dear students,

Greetings!!!!

As per the scheduled time of viva and practical exam for the subject, CSE101-Digital Electronics will be 9:00 am on your respective scheduled dates. 

All the students are requested to report at 9:00 am at the mentioned location.

Location: V-303, PE-304, W-306

 
Viva: 9:30 am onwards (All the students)

All the Best!!!",Unknown
CSE101-Digital Electronics (2023-24),"Dear all,

kindly upload the practical file in the shared link before your examination.

Thank you.",Unknown
CSE101-Digital Electronics (2023-24),"Dear all,

Kindly upload the practical File (in pdf format) in the given below link before 7th May 2024.

Link: https://forms.gle/bxsGbLHLQEqfdhwL7

Thank You.",Unknown
CSE101-Digital Electronics (2023-24),"Dear CSE2-C batch students,
You can come for Project Presentation before 11 AM, tomorrow.",Unknown
CSE101-Digital Electronics (2023-24),material for Digital Electronics,Unknown
CSE101-Digital Electronics (2023-24),"software required for UNIT Test-2

Link: https://sourceforge.net/projects/seb/files/seb/SEB_3.6.0/SEB_3.6.0.633_SetupBundle.exe/download",Unknown
CSE101-Digital Electronics (2023-24),UNIT-5 ,Unknown
CSE101-Digital Electronics (2023-24),Combinational and Sequential circuit ,Unknown
CSE101-Digital Electronics (2023-24),"UNIT TEST-2 

--Syllabus",Unknown
CSE101-Digital Electronics (2023-24),"UNIT TEST-1 MARKS

Attention all students! It is mandatory for those who have scored less than 12 marks to rewrite the entire question paper along with the solution in their assignment book.",Unknown
CSE101-Digital Electronics (2023-24),"All the students fill out the project details in the shared sheet today before 4:00 pm.

Link: https://docs.google.com/spreadsheets/d/1N4LGr0Vd8ZQiqjcYsTiva9AqbQ_QV5C430O0fh6oPyc/edit?usp=sharing",Unknown
CSE101-Digital Electronics (2023-24),old internal papers,Unknown
CSE101-Digital Electronics (2023-24),"Deadline : Assignment-1 submission

7th March, 2024",Unknown
CSE101-Digital Electronics (2023-24),Assignment -1 Sr. No 15 Solution,Unknown
CSE101-Digital Electronics (2023-24),"Chapter 2:Simplification of Boolean function
Chapter 3: Combinational Circuit",Unknown
CSE101-Digital Electronics (2023-24),Chapter-1: Number System,Unknown
CSE101-Digital Electronics (2023-24),kindly check practical 2 having assignment question in last page.. so you have to write in file pages.,Unknown
CSE101-Digital Electronics (2023-24),Practical 2: Implement the circuit using NAND Gate and NOR gate only,Unknown
CSE101-Digital Electronics (2023-24),University Question Papers,Unknown
CSE101-Digital Electronics (2023-24),"Assignment 2
Due Mar 16",Unknown
CSE101-Digital Electronics (2023-24),Assignment 1Due Feb 16,Unknown
CSE101-Digital Electronics (2023-24),"1.Practical List
2.  Minor Project",Unknown
CSE101-Digital Electronics (2023-24),"1. Rubrics and Pedagogy of Digital Electronics
2. Syllabus
3. Practical
",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA Second internal examination marks of CE144: OBJECT ORIENTED PROGRAMMING WITH C++",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear 2CSE2 B batch students,

PFA Aim for practical examination.


Time :  01:30 pm - 2:45 PM",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear 2CSE2 A batch students,

PFA Aim for practical examination.


Time : 11:45 am - 01:00 pm",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear 2CSE2 Students,

Please find attached link on which you need to submit your practical examination work. Kindly read the instructions carefully.

Thank you.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear 2CSE2 C batch students,

PFA Aim for practical examination.


Time : 10:00 am - 11:15 am",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear 2CSE1 C batch students,

PFA Aim for practical examination.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Please find attached link on which you need to submit your practical examination work. Kindly read the instructions carefully.

Thank you.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear 2CSE1 A & B batch students,

PFA aim for practical examination.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear students,

Greetings!!!!

As per the schedule time of viva and practical exam for the subject CE144 Object Oriented Programming with C++  will be 9:15 am on your respective scheduled dates. 


All the students are requested to report at 9:10 am at the mentioned location.
Venue: -
Viva: 317
Practical:317
Waiting Area: 323 
Practical Examination of A batch - 9:15 am to 10:45 am, B batch - 11:00 to 12:30 and C batch - 2:00 pm to 3:30 pm are scheduled.

Viva: 9:15 am onwards 

Please note the following points:

1. All students should come in decent formal wear.

2.   Proper discipline is to be observed by the students during viva and practical exams

3. All students should make sure that their signature is on the term-work signature sheet prior to the start of the practical/viva exam.

4. Try to answer the questions in English only. 


ALL THE BEST 👍 DO WELL !! STAY CONFIDENT",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear students,

Greetings!!!!

As per the schedule time of viva and practical exam for the subject CE144 Object Oriented Programming with C++  will be 9:15 am on your respective scheduled dates. 


All the students are requested to report at 9:10 am at the mentioned location.
Venue: -
Viva: 317
Practical:317
Waiting Area: 323 
Practical Examination of A batch - 9:15 am to 10:45 am, B batch - 11:00 to 12:30 and C batch - 2:00 pm to 3:30 pm are scheduled.

Viva: 9:15 am onwards 

Please note the following points:

1. All students should come in decent formal wear.

2.   Proper discipline is to be observed by the students during viva and practical exams

3. All students should make sure that their signature is on the term-work signature sheet prior to the start of the practical/viva exam.

4. Try to answer the questions in English only. 


ALL THE BEST 👍 DO WELL !! STAY CONFIDENT",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Please find below the evaluation faculty name according to the batch. Those who have not submitted the practical file on time or left to give the internal practical exam kindly contact to the faculty.


2DSCE1(Batch A) - Disha Panchal 
2DSCE1(Batch B) - 

Disha Panchal 
2DSCE1(Batch C) - Dipika Damodar 


2DSCE2(Batch A) - Priyanka Padhiyar
2DSCE2(Batch B) - Aishwariya Budhrani
2DSCE2(Batch C) - Dipika Damodar ",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

If you have any doubt in any practicals or topic, kindly inform us, we will arrange online sessions to solve your doubt.

Thank you.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Unit Test  2 Syllabus-  Unit No.  7 to 11

7. Operator Overloading
8.Inheritance
9.Pointers and Virtual Functions
10.Managing Console I/O Operations
11.Working with Files",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA,

Practical - 16 
Update the TATA motors system (practical 3) to get input from the file.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA,

Practical - 15 
Develop a C++ program for amazon product as per given class diagram.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA,

Practical - 14 
Develop a C++ program for library management system.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

PFA,

Practical - 12 
Develop a C++ program for CHARUSAT students marksheet generator (practical 1) using class.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 8 Develop a C++ program store and retrieve CHARUSAT employee details. (employee details :- teaching and non-teaching employee)",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Reference material for pointer.,Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
Please find attached Ppt for Inheritance! updated ppt with remaining topics.

Regards,",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Kindly take note that only turned in assignments from your official charusat Id will be considered for evaluation.

Thank you.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

In one of your lab sessions, the Internal Practical Exam will be conducted in the upcoming week(8-04-20254 - 12-04-2024), So kindly prepare yourself up to Chapter - 8.


Thank you.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,
Practical - 13 
Update the CHARUSAT employee system (practical 8) as per given class diagram.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,
PFA,

Practical – 11 

Create a C++ code to take employee experience to represent as floating point value.",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Dear Students,

Doubt Solving session is arranged on 6/4/2024 (Saturday).
Time: 9:30 onwards
Location: 303 Lab",Unknown
